cycle no,1 Ascending aorta [mm^2],2 Aortic arch I [mm^2],3 Brachiocephalic [mm^2],4 R. subclavian I [mm^2],5 R. com. carotid [mm^2],6 R. vertebral [mm^2],7 R. subclavian II [mm^2],8 R. radius [mm^2],9 R. ulnar I [mm^2],10 Aortic arch II [mm^2],11 L. com. carotid [mm^2],12 Thoracic aorta I [mm^2],13 Thoracic aorta II [mm^2],14 Intercoastals [mm^2],15 L. subclavian I [mm^2],16 L. vertebral [mm^2],17 L. subclavian II [mm^2],18 L. ulnar I [mm^2],19 L. radius [mm^2],20 Celiac I [mm^2],21 Celiac II [mm^2],22 Hepatic [mm^2],23 Splenic [mm^2],24 Gastric [mm^2],25 Abdominal aorta I [mm^2],26 Sup. mesenteric [mm^2],27 Abdominal aorta II [mm^2],28 R. renal [mm^2],29 Abdominal aorta III [mm^2],30 L. renal [mm^2],31 Abdominal aorta IV [mm^2],32 Inf. mesenteric [mm^2],33 Abdominal aorta V [mm^2],34 R. com. iliac [mm^2],35 R. ext. iliac [mm^2],36 R. int. iliac [mm^2],37 R. deep femoral [mm^2],38 R. femoral [mm^2],39 R. ext. carotid I [mm^2],40 L. int. carotid I [mm^2],41 R. post. tibial [mm^2],42 R. ant. tibial [mm^2],43 R. interosseous [mm^2],44 R. ulnar II [mm^2],45 L. ulnar II [mm^2],46 L. interosseous [mm^2],47 R. int. carotid I [mm^2],48 L. ext. carotid I [mm^2],49 L. com. iliac [mm^2],50 L. ext. iliac [mm^2],51 L. int. iliac [mm^2],52 L. deep femoral [mm^2],53 L. femoral [mm^2],54 L. post. tibial [mm^2],55 L. ant. tibial [mm^2],56 Basilar [mm^2],57 R. PCA I [mm^2],58 R. PCA II [mm^2],59 R. PCoA [mm^2],60 R. int. carotid II [mm^2],61 R. MCA [mm^2],62 R. ACA I [mm^2],63 R. ACA II [mm^2],64 ACoA [mm^2],65 L. ACA II [mm^2],66 L. ACA I [mm^2],67 L. MCA [mm^2],68 L. int. carotid II [mm^2],69 L. PCoA [mm^2],70 L. PCA II [mm^2],71 L. PCA I [mm^2],72 L. ext. carotid II [mm^2],73 R. ext. carotid II [mm^2],74 L. sup. thy. asc. ph. lyng. fac. occ. [mm^2],75 R. sup. thy. asc. ph. lyng. fac. occ. [mm^2],76 L. superf. temp. [mm^2],77 R. superf. temp. [mm^2],78 L. maxillary [mm^2],79 R. maxillary [mm^2],80 L. superf. temp. fron. bran. [mm^2],81 R. superf. temp. fron. bran. [mm^2],82 L. superf. temp. pari. bran. [mm^2],83 R. superf. temp. pari. bran. [mm^2]
1,12.604742790142714,11.092068819348938,2.328458816297309,1.0049294532688637,0.6860569898932178,0.1739359231727455,0.30029159171811287,0.07746342510949297,0.14705247417847014,9.732659378180935,0.37997416334399986,8.15138121671327,6.044311965174373,0.5163625627375251,1.0049097459225655,0.253741560776113,0.3002867538237686,0.14705121017067535,0.07746298916208096,0.606818321967428,0.4316978789069158,0.39513698244792517,0.23080279600070977,0.15118242091712922,4.505902624850701,0.8093992062768397,3.96960685984054,0.43653228496392676,3.75186024137962,0.4365277106516407,2.889924119853252,0.20259137918643505,2.0066147153096066,0.8576732000608259,0.6665035429981867,0.12709107864568858,0.12764359318806406,0.27546644656627783,0.3728678493035608,0.28886282972304445,0.1975073610567785,0.0965719805352599,0.031566520255676,0.11534431402962535,0.11534379658705907,0.03156640386291822,0.337692942122096,0.028146404454817888,0.8576732000608259,0.6665035429981867,0.12709107864568858,0.12764359318806406,0.27546644656627783,0.1975073610567785,0.0965719805352599,0.06727559614551286,0.035061890668424946,0.03497278648231899,0.04451557113953733,0.1534279665065258,0.07609350316494842,0.05569171266714159,0.05001297068912076,0.0313589491766193,0.01127205748788518,0.03970607718251818,0.10417005575477722,0.14045617735194868,0.04450343788763879,0.04992548870788825,0.041220745218013694,0.11239679550164267,0.1127921730915738,0.015764199298066977,0.01577594993965124,0.07659623926064386,0.07680311254573834,0.01734389995776,0.01735767766964244,0.024286326642602045,0.02431001001628409,0.02428602054867149,0.02430968694578971
2,12.615425297050278,11.10146589692781,2.33001050155522,1.005761116556679,0.6864957346102982,0.1739593192232149,0.3003324374897555,0.07727220675425404,0.14686247992336082,9.740834599905318,0.38020703590899696,8.158202742438732,6.049268765729332,0.5165485754967342,1.005726865227971,0.2536753381621734,0.3003273765291414,0.14686139537948273,0.07727188791162407,0.6071509484886889,0.4318966469840766,0.39531794139789384,0.23088559728322758,0.15124445399533976,4.509586546245858,0.8098882732374892,3.9730038373170506,0.4367317533668735,3.7551785412130703,0.43672681713063405,2.8925145526718725,0.2027283140783329,2.0083751855133456,0.8582830631537041,0.6667381328662774,0.12711518044332673,0.1275938980638036,0.27536826989857904,0.373112376544676,0.28661119614062536,0.19725739917939386,0.09642105152844707,0.031541473807306736,0.11520355853211452,0.1152031099316335,0.0315413708378425,0.3350193892233631,0.028137947935502797,0.8582830631537041,0.6667381328662774,0.12711518044332673,0.1275938980638036,0.27536826989857904,0.19725739917939386,0.09642105152844707,0.06689990339519059,0.034901890867052435,0.03482852911717483,0.04430038072996552,0.15161865698410903,0.07543511603497399,0.05531213064792331,0.049667417275686805,0.03121922798929441,0.011213888862233583,0.03950363994870936,0.10310315113453275,0.13884854479036263,0.04428601765079343,0.0496740195661813,0.04101876878518802,0.11228534631721314,0.11284690125919285,0.015748670270478528,0.015765646089587516,0.07649180410168549,0.07678781809233291,0.01732565635249283,0.01734561696475731,0.0242508301969004,0.02428570039259091,0.02425035756899634,0.024285207324824695
3,12.48382871660836,10.98566116683272,2.3117316562192918,0.9959337609128356,0.6811368729195132,0.17298266823147004,0.2979613433476273,0.07687715996600902,0.1459278633302456,9.639244262024992,0.3772704498194063,8.073110111330505,5.986197108105232,0.5137119496631066,0.9959102046517111,0.25226969449245,0.2979578002797427,0.14592723655900827,0.07687701406960991,0.6022705114201037,0.42902415163878493,0.3928942201076002,0.22907601934357372,0.1501718939926997,4.462562536450627,0.8032405041528966,3.9315002998598416,0.4333616541399744,3.715900497225968,0.433356785818959,2.862232988347805,0.20096900409065638,1.9873578456137595,0.8504881515064502,0.6630397083253665,0.12657021087259185,0.1267219804662861,0.27359201179999,0.3701254149743998,0.2871616845054689,0.19647584143709226,0.0961036632356235,0.031451478860710085,0.1148253078209207,0.1148250551875919,0.03145141997066603,0.33548936424785286,0.028078668092203184,0.8504881515064502,0.6630397083253665,0.12657021087259185,0.1267219804662861,0.27359201179999,0.19647584143709226,0.0961036632356235,0.06693358272306477,0.03495668810112034,0.03487967084491037,0.0443479850937633,0.15212367801725485,0.0756496488532615,0.055440853942512684,0.049807532998862036,0.031271237973393304,0.011248247743319879,0.039575757735598176,0.10351875317929089,0.13941903546229764,0.044349746910515485,0.04975168996281685,0.04109339238630104,0.11125311204857266,0.11180311180449787,0.015713894049788586,0.01573068563872306,0.07593614492939924,0.07622667463599625,0.017284860926796042,0.0173045967498773,0.024179333736346294,0.0242138418096387,0.024178855729709032,0.024213345241337343
4,12.32992118376217,10.850229625268826,2.2903398454764865,0.9844389081048687,0.6748437361439754,0.17176713678751465,0.2952117070842817,0.07645869662291979,0.1448848639930831,9.520438805214097,0.373819859240517,7.973635130483244,5.912500257066997,0.5103821460687691,0.9844227405504032,0.2504047241308076,0.2952089010659838,0.14488442854629235,0.07645861067332932,0.5965517622660057,0.4256599064476013,0.3900587315258446,0.22695424317351098,0.14891590724300807,4.407665713859139,0.7954693340689253,3.8831099390964208,0.429413482465609,3.670139067513145,0.42940902843556195,2.826979587263666,0.19891714633555385,1.9628998064843377,0.841405782010561,0.6587140227111259,0.12593102110626744,0.12569682390562,0.27148722078934645,0.3666157306619462,0.2855498940250445,0.19552550201024768,0.09571442613831091,0.03135229597484941,0.11441461273184882,0.11441443732879383,0.031352255835560526,0.33357265356720334,0.028009694973975336,0.841405782010561,0.6587140227111259,0.12593102110626744,0.12569682390562,0.27148722078934645,0.19552550201024768,0.09571442613831091,0.0665600071706135,0.03485876882135011,0.0347837825828595,0.04419620743037466,0.1510231684422187,0.07529065931163323,0.055236842645090795,0.04965243891301696,0.031201668428516155,0.01124685893768807,0.03946398373606148,0.10290834394899388,0.13845320702244704,0.044199665192437704,0.04955936357925578,0.040958739321068395,0.11006505643708862,0.11058174020188569,0.015675707949223835,0.015691572231394675,0.0753018679302581,0.07557516354032538,0.017240025496794553,0.017258665958706405,0.024100486608341846,0.024133073186686782,0.024100026850353742,0.024132596021868697
5,12.212971039034231,10.747318082803055,2.2740688286898485,0.9757054245566722,0.6700565201390072,0.1708344292654223,0.29313181626073725,0.07616245837356775,0.1441165070327781,9.430155811094412,0.3711938409402896,7.89803472702345,5.856475600850259,0.5078453349496463,0.9756920973439285,0.24896116421488473,0.29312927892854257,0.1441161183236633,0.07616238113460587,0.5921970378520822,0.42309743734778604,0.38789823750500246,0.22534088479091202,0.14796027257110353,4.365922974968381,0.7895530448002516,3.84631678144422,0.42640818523881263,3.6353467777670865,0.42640392135315114,2.800174889456881,0.19735505236072756,1.9442993582406816,0.8344920288843525,0.6554136445722537,0.1254437070196529,0.12491973014017892,0.26987835023430995,0.3639468064659529,0.2840050689143133,0.19479912867577,0.09541633025474978,0.03127973425303874,0.11411917488981053,0.11411901696223606,0.03127969855820123,0.33176295373279374,0.027957721587723354,0.8344920288843525,0.6554136445722537,0.1254437070196529,0.12491973014017892,0.26987835023430995,0.19479912867577,0.09541633025474978,0.06622865105639142,0.03476413403505256,0.034691758600923134,0.044052471045027165,0.1499577006069923,0.07493550079266773,0.055033769400627645,0.04949189580434898,0.031130985462271776,0.011239339598321747,0.03935205368587044,0.10229884557920628,0.13749990842649845,0.044055126427032416,0.04937707217403063,0.04082953968795823,0.10917323345185855,0.10965556933828796,0.015647696429936683,0.015662577167020773,0.07482844246561825,0.07508383968506134,0.01720714486585929,0.0172246237116609,0.024043269817207745,0.024073835317558807,0.024042832342790418,0.02407338163810948
6,12.129149026544155,10.67355765979923,2.262392637417521,0.969443822590576,0.6666197651439519,0.17015956086479525,0.29163810796669604,0.07594741745754659,0.14356153371522262,9.365444479464488,0.36930823353508285,7.843843964522083,5.8163087751419695,0.5060197941083824,0.9694312127818393,0.2479085457419374,0.2916355622156018,0.14356111565492854,0.07594732689483052,0.5890684325441152,0.4212547101465282,0.3863443980121202,0.2241788972232369,0.14727223417518337,4.3359876620351745,0.7853017968012559,3.819930474111373,0.4242463738870778,3.6103964221997833,0.4242422129253802,2.7809533357073253,0.19623313657692232,1.9309597893100678,0.8295294349597181,0.6530399901260249,0.1250922783352692,0.12435811772980017,0.268721484062899,0.36203091839643564,0.28270172858958603,0.19427349383345766,0.0952005070723296,0.03122702724916457,0.11390421621487397,0.11390404996606113,0.03122698915234447,0.33022566252521135,0.02792027002749304,0.8295294349597181,0.6530399901260249,0.1250922783352692,0.12435811772980017,0.268721484062899,0.19427349383345766,0.0952005070723296,0.06596149353150027,0.03468277063049401,0.03461283475809957,0.043929866367086005,0.1490323556038749,0.07462201195017341,0.05485352727713098,0.049344883405816796,0.03106733709877354,0.011228126279696438,0.039253493510371336,0.10177019555366522,0.13667786869533788,0.04393250698757915,0.049224925224302045,0.040720851440295636,0.10853367729720724,0.10899115249528088,0.01562757009417945,0.01564172294465899,0.07448857277878855,0.07473091874441995,0.01718352510279506,0.01720014360394569,0.024001970374014307,0.024031015584814942,0.024001550937985953,0.024030580791471415
7,12.084145279061108,10.633960713168886,2.256122212350472,0.9660805328217209,0.6647712375980832,0.1697870304864343,0.2908531297498091,0.07585782972201005,0.14329818805505137,9.330713964712611,0.3682942649699655,7.814774429927978,5.794785082100466,0.5050492760073592,0.9660682944564264,0.24731355789087806,0.29085044498023654,0.14329768704518048,0.07585769899929708,0.5873997399486991,0.4202743514297162,0.38551739801448087,0.2235703654267935,0.14691035454402146,4.319969420528637,0.7830380927222717,3.805814218584113,0.42310135410771144,3.597045992600185,0.423097383295482,2.7706693211540325,0.19563564410313658,1.923830500857131,0.826881890453233,0.6517776459966909,0.12490794036943259,0.12407447809183088,0.268116510221975,0.3609999438318554,0.2816773641630529,0.19401576957973077,0.09509572581153442,0.031203397424676024,0.11381234170365279,0.11381213931981807,0.0312033510585182,0.3290197936012932,0.027900773321950248,0.826881890453233,0.6517776459966909,0.12490794036943259,0.12407447809183088,0.268116510221975,0.19401576957973077,0.09509572581153442,0.06577461239011004,0.034619045640580194,0.034549837381561574,0.04383287756116411,0.14827808424125544,0.07436086324875597,0.05470182007649922,0.04921601256332155,0.031012428315493185,0.011214150771671334,0.03917096402330965,0.10133294207866524,0.13600595896268697,0.043835182731892346,0.04910617348871311,0.04063682903024012,0.10820103723321221,0.10863600229482961,0.01561771640601219,0.0156312360978026,0.0743156083309169,0.07454637105888566,0.0171720054724598,0.01718788208208353,0.023983093746793766,0.024010917469233645,0.023982686780816553,0.02401049619847418
8,12.067178488037467,10.619031625775508,2.253752877734458,0.964811496310415,0.6640734704269512,0.1696467515938993,0.2905616573239651,0.07583044980185076,0.1432058328759905,9.317618899200545,0.36791111727979586,7.803807936659089,5.786656112790892,0.5046810850792752,0.9647980773062041,0.24708911514291598,0.2905587003570921,0.1432052228189719,0.07583027939649988,0.5867678801709186,0.4199020646199602,0.3852026504989116,0.22333874112455557,0.14677240360859464,4.313907496812803,0.7821774902489472,3.8004624835979595,0.42266656881332554,3.5919799027243666,0.4226626154266122,2.766764719569591,0.19540826024814403,1.9211229788310045,0.8258763933994393,0.651299025690321,0.12483776581570968,0.12396843800131098,0.26789550065396067,0.36061116515784236,0.2812693285733717,0.1939270513830629,0.09506108074946701,0.031195129817248302,0.1137819025937841,0.11378166192564824,0.031195073476596384,0.328538729321189,0.027893821785326667,0.8258763933994393,0.651299025690321,0.12483776581570968,0.12396843800131098,0.26789550065396067,0.1939270513830629,0.09506108074946701,0.06570205437377753,0.03459381937200866,0.03452487097026337,0.04379441452565336,0.14797815512374637,0.07425682861221326,0.054641165353122814,0.04916413922594683,0.030990389031948184,0.01120828093076934,0.03913800799976403,0.10115917423626047,0.13573901272271915,0.04379663321879259,0.04905945734094736,0.04060378043029919,0.10808178820784635,0.10850317801356162,0.015614489482551184,0.015627614917058483,0.07425504282491667,0.07447868266963645,0.01716825377708502,0.017183665131690968,0.02397717233687679,0.024004185387352665,0.023976775943686125,0.024003775478835306
9,12.072868739357327,10.624043924291882,2.2545467349915858,0.9652348202134108,0.6643057348290942,0.169687744359605,0.2906831339633802,0.07587498211734994,0.1432832352981643,9.322027362836952,0.3680390019875171,7.8075152739542,5.789431422725649,0.5048182474306243,0.9652219651893028,0.2471464332968837,0.2906801583433695,0.14328259351766334,0.07587479214600412,0.5869953461600022,0.4200390716163618,0.3853177454825954,0.22343679947227738,0.14682855491624416,4.316000550406066,0.7824893474812504,3.8023055194474624,0.4228331003216255,3.5937166343556144,0.4228293005680449,2.768102547573659,0.1954902684819781,1.9220610806213543,0.826233187101355,0.6514774123169849,0.12486734434939067,0.12402999099715127,0.2680006492943519,0.3607403275088411,0.2812041606171587,0.19400069987104665,0.09509382844912459,0.031204066139645572,0.113823513130466,0.11382325479696874,0.031204006175482364,0.32845731339269735,0.027897331453325347,0.826233187101355,0.6514774123169849,0.12486734434939067,0.12402999099715127,0.2680006492943519,0.19400069987104665,0.09509382844912459,0.06570167115256115,0.03459031088210567,0.03452075228682815,0.04378769910129454,0.14791477528837102,0.07423271021531608,0.05462651872160278,0.049149597900797544,0.030984542270942224,0.011205183417919335,0.03913045656220388,0.1011226074785829,0.13568556527430975,0.04379019752950157,0.049052851476130706,0.04059988487226591,0.10814022773968243,0.1085508476550001,0.015617183538443057,0.015630021625012966,0.07429100344673843,0.07450921387780843,0.017171465460090584,0.017186543189458347,0.02398423419053021,0.02401074161461425,0.023983842440166808,0.02401033711068433
10,12.09582988162454,10.64425092803521,2.257742144930016,0.9669478460767709,0.6652463711992166,0.16987121510487202,0.291109053157355,0.07595707979086642,0.1434644118872732,9.339761248210714,0.36855494915106135,7.822368384746346,5.800446365806172,0.5053237071145679,0.9669338020007215,0.2474295792831315,0.29110581808152103,0.14346367011129438,0.07595685370828505,0.5878585543343946,0.42054790703924844,0.3857456440744642,0.2237628344287375,0.14702032920587632,4.32420916675614,0.7836592695554772,3.809527653743787,0.42343321624885394,3.6005363217491473,0.4234294264696543,2.773354057367903,0.19579845904920162,1.9257106403395192,0.827596152164331,0.6521357228875949,0.12496613351092531,0.12419758454868939,0.26834214764122777,0.36126486973437966,0.2814857046155073,0.1941762549760456,0.09516910975896488,0.031222064261238965,0.11390141075131362,0.11390111742094304,0.03122199515723869,0.32879052102396256,0.027908606895837892,0.827596152164331,0.6521357228875949,0.12496613351092531,0.12419758454868939,0.26834214764122777,0.1941762549760456,0.09516910975896488,0.06576588931580778,0.03460825658525225,0.03453775257598518,0.043814305054266686,0.14810942828567633,0.07429763168694384,0.054663403089262486,0.049178408926178245,0.03099725027533076,0.011206482455174825,0.03915073401839907,0.10123226120733628,0.13585769110173604,0.043816691656573016,0.049086209894767585,0.040624093374169466,0.10833034158763875,0.10873539811809521,0.01562394230608343,0.01563662696404158,0.07439614392424157,0.07461146517958221,0.017179444372261703,0.01719434186439781,0.023999097546342114,0.02402530433135078,0.023998710425045488,0.024024905103338993
11,12.128978228679575,10.673424797952746,2.2623610285069744,0.9694221797949154,0.6666063305420695,0.17013933981745236,0.291719785015329,0.07607173946063098,0.14372260112925445,9.365367659957181,0.3693016343577838,7.843825959731895,5.816378295113889,0.5060593930281585,0.9694089905595811,0.2478497733869453,0.29171665122518226,0.14372187721071897,0.07607151455525112,0.5891117033248162,0.42128879622841114,0.3863697788908192,0.2242415966183422,0.14730181855903185,4.336105555315826,0.7853635371709599,3.8200077556749856,0.42430821896812304,3.6104377329239834,0.4243045475958157,2.780980819042694,0.1962477614658799,1.931013459467312,0.8295777777060959,0.6530927968189978,0.1251109847573113,0.12444414047024659,0.26883120984867825,0.36202294597194407,0.2820505847148357,0.19442801250480127,0.09527600132877292,0.031248090228068008,0.1140126751570136,0.11401238395823539,0.031248022240557283,0.32945563901524116,0.027924568087674077,0.8295777777060959,0.6530927968189978,0.1251109847573113,0.12444414047024659,0.26883120984867825,0.19442801250480127,0.09527600132877292,0.06588165408080572,0.03464446401939699,0.0345724714823674,0.043867594565820005,0.14851371984001732,0.07443601823850021,0.05474296422948725,0.04924411930215243,0.03102548388054332,0.011212457313788112,0.03919424013058977,0.10146493831873517,0.13621802159327476,0.04387015412934621,0.04915234697847083,0.04067219201706041,0.10860016676807324,0.10900126893441564,0.015633384031757135,0.01564597818076158,0.07454466227510353,0.07475808555400885,0.01719057080927039,0.01720536573410663,0.024019931943185645,0.024046022593984254,0.024019545741912028,0.024045624837410236
12,12.170948834937919,10.710359974884454,2.2682019743044437,0.9725543345858874,0.6683260064939469,0.17047737360488313,0.292485907112039,0.07620457257718258,0.14403216007534697,9.397779529275981,0.3702451720847849,7.870973087061817,5.836510587794851,0.5069799064701287,0.9725402887123377,0.2483766624541283,0.2924825780397602,0.14403136056105953,0.07620432011976946,0.5906862926349783,0.42221659497097225,0.3871507397094411,0.2248330151796053,0.1476504444868999,4.35111252502973,0.7875000211679021,3.8332208277346353,0.4254007881910274,3.622920846882589,0.4253971364295296,2.79059538860479,0.19681098520994328,1.9376926297755228,0.8320687384656905,0.6542915617157421,0.1252900413094686,0.12474180032419208,0.26944019326932794,0.3629817789020011,0.2826947226462564,0.19472915589539708,0.09540360018433643,0.0312783647399557,0.11414093186287219,0.11414061448581227,0.03127828989713211,0.3302184403916966,0.027944461693521577,0.8320687384656905,0.6542915617157421,0.1252900413094686,0.12474180032419208,0.26944019326932794,0.19472915589539708,0.09540360018433643,0.0660155167864758,0.03468507966774356,0.03461152996549151,0.04392846330895858,0.14897207711576152,0.07459149695632825,0.05483221349832299,0.049316777233844346,0.031056950758824673,0.011218106170379584,0.03924297283626149,0.10172551111180375,0.136623459554842,0.04393082136530022,0.049227454916702544,0.04072625956918185,0.10893706540542894,0.10933672918480301,0.015644851849948724,0.01565741464550706,0.0747281794897841,0.07494088393463359,0.017204077184113608,0.01721883611717038,0.024044526544215874,0.024070571697057928,0.024044142055776582,0.02407017616525822
13,12.214935654681542,10.749070478698235,2.2743254182007147,0.9758377379252868,0.6701299504421558,0.17083594054413515,0.2932875092126148,0.0763441652141816,0.144357729666772,9.431751733648019,0.37123539959704516,7.899433883706568,5.857630189540525,0.507948921483627,0.9758246043160556,0.24894317699584076,0.2932843343391786,0.14435697226503455,0.07634392490393228,0.5923415089648901,0.423193360735711,0.38797352849568517,0.22545937830678728,0.1480193813567256,4.366871155305934,0.7897496310072374,3.847103081635526,0.42655235850772205,3.6360385204311054,0.42654879186759936,2.800699305246034,0.19740419009539234,1.9447136319984157,0.8346881463215725,0.6555522880223873,0.12547940487148643,0.1250586698717083,0.27007809487998236,0.3639876088705296,0.2835497471792801,0.1950476090483354,0.09553820201840875,0.03131055012156913,0.11427689391354552,0.11427658928062476,0.03131047882454331,0.3312302482612556,0.027965233971194464,0.8346881463215725,0.6555522880223873,0.12547940487148643,0.1250586698717083,0.27007809487998236,0.1950476090483354,0.09553820201840875,0.0661824486852594,0.03473947909659244,0.03466403298397494,0.044009533258510765,0.14959687140325892,0.07480688113036671,0.054956391328090465,0.04942094782749512,0.031101399912825338,0.011228881892543095,0.039310484868551224,0.1020840910354659,0.13717706557988624,0.04401183240751416,0.049326663327957807,0.040797924791701926,0.10928930122305089,0.10968847590735327,0.01565685014631225,0.015669417561017487,0.07492006737566324,0.07513263447962701,0.017218197292890338,0.017232964530706423,0.02407040426149988,0.024096509136912123,0.024070019347281715,0.024096113566207052
